Date,Open,High,Low,Close,Volume,Adj Close
2014-02-20,1250.25,1250.25,1250.25,1250.25,000,1250.25
2014-02-19,1256.52,1256.52,1256.52,1256.52,000,1256.52
2014-02-18,1274.94,1274.94,1274.94,1274.94,000,1274.94
2014-02-17,1276.82,1276.82,1276.82,1276.82,000,1276.82
2014-02-14,1280.46,1280.46,1280.46,1280.46,000,1280.46
2014-02-13,1271.85,1271.85,1271.85,1271.85,000,1271.85
2014-02-12,1278.22,1278.22,1278.22,1278.22,000,1278.22
2014-02-11,1246.03,1246.03,1246.03,1246.03,000,1246.03
2014-02-10,1260.17,1260.17,1260.17,1260.17,000,1260.17
2014-02-07,1254.75,1254.75,1254.75,1254.75,000,1254.75
2014-02-06,1250.07,1250.07,1250.07,1250.07,000,1250.07
2014-02-05,1240.11,1240.11,1240.11,1240.11,000,1240.11
2014-02-04,1212.60,1212.60,1212.60,1212.60,000,1212.60
2014-02-03,1208.14,1208.14,1208.14,1208.14,000,1208.14
2014-01-31,1176.92,1176.92,1176.92,1176.92,000,1176.92
2014-01-30,1155.81,1155.81,1155.81,1155.81,000,1155.81
2014-01-29,1126.35,1126.35,1126.35,1126.35,000,1126.35
2014-01-28,1136.97,1136.97,1136.97,1136.97,000,1136.97
2014-01-27,1159.43,1159.43,1159.43,1159.43,000,1159.43
2014-01-24,1183.99,1183.99,1183.99,1183.99,000,1183.99
2014-01-23,1223.28,1223.28,1223.28,1223.28,000,1223.28
2014-01-22,1222.88,1222.88,1222.88,1222.88,000,1222.88
2014-01-21,1215.34,1215.34,1215.34,1215.34,000,1215.34
2014-01-20,1239.48,1239.48,1239.48,1239.48,000,1239.48
2014-01-17,1268.53,1268.53,1268.53,1268.53,000,1268.53
2014-01-16,1271.31,1271.31,1271.31,1271.31,000,1271.31
2014-01-15,1283.70,1283.70,1283.70,1283.70,000,1283.70
2014-01-14,1260.70,1260.70,1260.70,1260.70,000,1260.70
2014-01-13,1286.47,1286.47,1286.47,1286.47,000,1286.47
2014-01-10,1296.39,1296.39,1296.39,1296.39,000,1296.39
2014-01-09,1289.98,1289.98,1289.98,1289.98,000,1289.98
2014-01-08,1279.41,1279.41,1279.41,1279.41,000,1279.41
2014-01-07,1238.06,1238.06,1238.06,1238.06,000,1238.06
2014-01-06,1205.51,1205.51,1205.51,1205.51,000,1205.51
2014-01-03,1205.51,1205.51,1205.51,1205.51,000,1205.51
2014-01-02,1204.96,1204.96,1204.96,1204.96,000,1204.96
2014-01-01,1162.68,1162.68,1162.68,1162.68,000,1162.68
2013-12-31,1162.68,1162.68,1162.68,1162.68,000,1162.68
2013-12-30,1158.03,1158.03,1158.03,1158.03,000,1158.03
2013-12-27,1165.24,1165.24,1165.24,1165.24,000,1165.24
2013-12-26,1112.08,1112.08,1112.08,1112.08,000,1112.08
2013-12-25,1112.08,1112.08,1112.08,1112.08,000,1112.08
2013-12-24,1112.08,1112.08,1112.08,1112.08,000,1112.08
2013-12-23,1112.08,1112.08,1112.08,1112.08,000,1112.08
2013-12-20,1123.86,1123.86,1123.86,1123.86,000,1123.86
2013-12-19,1155.53,1155.53,1155.53,1155.53,000,1155.53
2013-12-18,1146.26,1146.26,1146.26,1146.26,000,1146.26
2013-12-17,1146.69,1146.69,1146.69,1146.69,000,1146.69
2013-12-16,1146.88,1146.88,1146.88,1146.88,000,1146.88
2013-12-13,1156.74,1156.74,1156.74,1156.74,000,1156.74
2013-12-12,1186.93,1186.93,1186.93,1186.93,000,1186.93
2013-12-11,1196.98,1196.98,1196.98,1196.98,000,1196.98
2013-12-10,1200.67,1200.67,1200.67,1200.67,000,1200.67
2013-12-09,1182.93,1182.93,1182.93,1182.93,000,1182.93
2013-12-06,1177.34,1177.34,1177.34,1177.34,000,1177.34
2013-12-05,1190.31,1190.31,1190.31,1190.31,000,1190.31
2013-12-04,1211.77,1211.77,1211.77,1211.77,000,1211.77
2013-12-03,1220.98,1220.98,1220.98,1220.98,000,1220.98
2013-12-02,1228.23,1228.23,1228.23,1228.23,000,1228.23
2013-11-29,1195.68,1195.68,1195.68,1195.68,000,1195.68
2013-11-28,1180.77,1180.77,1180.77,1180.77,000,1180.77
2013-11-27,1175.82,1175.82,1175.82,1175.82,000,1175.82
2013-11-26,1151.66,1151.66,1151.66,1151.66,000,1151.66
2013-11-25,1197.79,1197.79,1197.79,1197.79,000,1197.79
2013-11-22,1168.90,1168.90,1168.90,1168.90,000,1168.90
2013-11-21,1141.83,1141.83,1141.83,1141.83,000,1141.83
2013-11-20,1136.65,1136.65,1136.65,1136.65,000,1136.65
2013-11-19,1145.09,1145.09,1145.09,1145.09,000,1145.09
2013-11-18,1141.33,1141.33,1141.33,1141.33,000,1141.33
2013-11-15,1133.46,1133.46,1133.46,1133.46,000,1133.46
2013-11-14,1143.62,1143.62,1143.62,1143.62,000,1143.62
